n,ciudad,unidades,recaudo,transportadora,valor_servicio,seguro,tipo_seguro,direccion_dice,se_le_dijo_al_cliente
1,SAN JOSE DE CUCUTA,1,83000,interrapidisimo,23416.30,3536,Seguro 99,domicilio,
2,POTOSI,1,85000,interrapidisimo,25914.30,3917,Seguro 99,Oficina Interrapidisimo,SERVIENTREGA (error del bot)
3,BOGOTA,2,128000,interrapidisimo,20993.75,3137,Seguro 99,domicilio,
4,BUENAVENTURA,1,81000,interrapidisimo,23266.86,3514,Seguro 99,domicilio,
5,EL BAGRE,1,85000,interrapidisimo,25914.30,3917,Seguro 99,Oficina Interrapidisimo,generica
6,EL BAGRE,1,85000,interrapidisimo,25914.30,3917,Seguro 99,Oficina Inter Rapidisimo El Bagre,interrapidisimo
7,PUERTO GAITAN,1,85000,interrapidisimo,25914.30,3917,Seguro 99,Oficina Interrapidisimo Principal Centro,interrapidisimo
8,VILLAVICENCIO,1,77000,interrapidisimo,17094.59,2571,Seguro 99,domicilio,
9,VILLAVIEJA,2,143000,interrapidisimo,32685.04,4919,Seguro 99,domicilio,
10,CHITAGA,1,85000,interrapidisimo,25914.30,3917,Seguro 99,Oficina Inter Rapidisimo,interrapidisimo
11,SAN LUIS DE SINCE,1,85000,interrapidisimo,27865.46,5876,Seguro 99 Plus,domicilio,
12,SOACHA,2,128000,interrapidisimo,20993.75,3137,Seguro 99,domicilio,
13,FLORIDA,1,85000,interrapidisimo,23564.73,3557,Seguro 99,domicilio,
14,PLANETA RICA,1,85000,interrapidisimo,25914.30,3917,Seguro 99,domicilio,
15,MANIZALES,3,185000,coordinadora,36054.18,5409,Seguro 99,domicilio,
16,ARAUQUITA,2,143000,interrapidisimo,35033.60,5278,Seguro 99,domicilio,
17,ISTMINA,1,85000,interrapidisimo,25914.30,3917,Seguro 99,domicilio,
18,SAN JOSE DEL GUAVIARE,1,85000,interrapidisimo,25914.30,3917,Seguro 99,Oficina Principal Interrapidisimo,interrapidisimo
19,MADRID,1,73000,interrapidisimo,13174.27,1973,Seguro 99,domicilio,
20,GUARNE,1,85000,interrapidisimo,23564.73,3557,Seguro 99,Oficina Interrapidisimo,interrapidisimo
21,BOGOTA,1,73000,coordinadora,12201.18,1824,Seguro 99,domicilio,
22,CONCORDIA,2,143000,interrapidisimo,36208.88,5458,Seguro 99,Oficina principal de Interrapidisimo,interrapidisimo
23,PEREIRA,1,85000,interrapidisimo,23564.73,3557,Seguro 99,domicilio,
24,TURBANA,1,85000,interrapidisimo,25914.30,3917,Seguro 99,Oficina Interrapidisimo plaza principal,interrapidisimo
25,MONTELIBANO,1,85000,interrapidisimo,25914.30,3917,Seguro 99,domicilio,
26,CANDELARIA,1,85000,interrapidisimo,25914.30,3917,Seguro 99,Oficina Interrapidisimo Candelaria,interrapidisimo
27,SINCELEJO,1,81000,interrapidisimo,23266.86,3514,Seguro 99,domicilio,
28,NECHI,2,143000,coordinadora,45562.32,6891,Seguro 99,Oficina principal COORDINADORA,INTERRAPIDISIMO (conflicto)
29,ARMENIA,2,138000,interrapidisimo,32312.45,4865,Seguro 99,domicilio,
30,QUIBDO,1,81000,interrapidisimo,25616.43,3874,Seguro 99,domicilio,
