fila,fecha,valor_servicio,valor_comercial,estado,transportadora,ciudad
2,2026-08-31,25481.04,85000,Creado,interrapidisimo,VALLE DEL GUAMUEZ
3,2026-08-31,20806.78,83000,Creado,servientrega,GIRON
4,2026-08-31,20770.89,81000,Creado,servientrega,MEDELLIN
5,2026-08-31,20752.94,80000,Creado,servientrega,PASTO
6,2026-08-31,26238,85000,Creado,servientrega,ARJONA
7,2026-08-31,20770.89,81000,Creado,servientrega,NEIVA
8,2026-08-31,33028.59,139000,Creado,servientrega,LA CRUZ
9,2026-08-31,20806.78,83000,Creado,servientrega,IPIALES
10,2026-08-31,20770.89,81000,Creado,servientrega,MEDELLIN
11,2026-08-31,20770.89,81000,Creado,servientrega,MEDELLIN
12,2026-08-31,20770.89,81000,Creado,servientrega,MEDELLIN
13,2026-08-31,23171.31,85000,Creado,interrapidisimo,SAN PEDRO DE LOS MILAGROS
14,2026-08-31,23171.31,85000,Creado,interrapidisimo,ARCABUCO
15,2026-08-31,12956.14,73000,Creado,interrapidisimo,BOGOTA
16,2026-08-31,12956.14,73000,Creado,interrapidisimo,CHIA
17,2026-08-31,12956.14,73000,Creado,interrapidisimo,CHIA
18,2026-08-31,25481.04,85000,Creado,interrapidisimo,BARRANCA DE UPIA
19,2026-08-31,25481.04,85000,Creado,interrapidisimo,SALADOBLANCO
20,2026-08-31,12956.14,73000,Creado,interrapidisimo,BOGOTA
21,2026-08-31,25481.04,85000,Creado,interrapidisimo,EL CARMEN DE VIBORAL
22,2026-08-31,25481.04,85000,Creado,interrapidisimo,MAJAGUAL
23,2026-08-31,17397.5,85000,Creado,interrapidisimo,GUTIERREZ
24,2026-08-31,25114.43,80000,Creado,interrapidisimo,QUIBDO
25,2026-08-31,23171.31,85000,Creado,interrapidisimo,GIRON
26,2026-08-31,25481.04,85000,Creado,interrapidisimo,RIOSUCIO
27,2026-08-31,23024.87,83000,Creado,interrapidisimo,SAMACA
28,2026-08-31,25481.04,85000,Creado,interrapidisimo,EL BAGRE
29,2026-08-31,31920.06,140000,Creado,interrapidisimo,PITALITO
30,2026-08-31,25481.04,85000,Creado,interrapidisimo,PUERTO TRIUNFO
31,2026-08-31,25481.04,85000,Creado,interrapidisimo,CALAMAR
32,2026-08-31,44078.36,210000,Creado,interrapidisimo,SUTAMARCHAN
33,2026-08-31,25481.04,85000,Creado,interrapidisimo,CUMBAL
34,2026-08-28,20923.34,85000,EN PROCESAMIENTO,servientrega,CARTAGO
35,2026-08-28,27890.24,140000,EN PROCESAMIENTO,servientrega,SOLEDAD
36,2026-08-28,16810.73,77000,Reparto,interrapidisimo,VILLAVICENCIO
37,2026-08-28,16737.01,76000,Transito regional,interrapidisimo,CHOACHI
38,2026-08-28,13939.2,73000,Intento de entrega,interrapidisimo,BOGOTA
39,2026-08-27,20770.89,81000,EN PROCESAMIENTO,servientrega,BUENAVENTURA
40,2026-08-27,25481.04,85000,Transito Urbano,interrapidisimo,CORDOBA
41,2026-08-27,25481.04,85000,Reclame en oficina,interrapidisimo,CAUCASIA
42,2026-08-27,12956.14,73000,Entregada,interrapidisimo,CAJICA
43,2026-08-27,25481.04,85000,Entregada,interrapidisimo,SAN JUAN DE BETULIA
44,2026-08-27,25188.15,81000,Reclame en oficina,interrapidisimo,YARUMAL
45,2026-08-27,22878.42,81000,Entregada,interrapidisimo,MANIZALES
46,2026-08-27,23171.31,85000,Entregada,interrapidisimo,MONTENEGRO
47,2026-08-27,25481.04,85000,Reclame en oficina,interrapidisimo,RIOSUCIO
48,2026-08-27,17397.5,85000,Reclame en oficina,interrapidisimo,NEMOCON
49,2026-08-27,25481.04,85000,Reclame en oficina,interrapidisimo,VALLE DEL GUAMUEZ
50,2026-08-26,20770.89,81000,EN PROCESAMIENTO,servientrega,CARTAGENA DE INDIAS
