fecha_envio_utc,numero_de_guia,transportadora,ciudad_destino,valor_comercial,valor_servicio,valor_seguro_99,estado_del_envio,unidades
2026-08-18 20:43:44,2220956331,servientrega,CARTAGENA DE INDIAS,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 20:36:18,240059320729,interrapidisimo,TÚQUERRES,81030,25028.91,3421,Transito Urbano,1
2026-08-18 20:30:49,2220956327,servientrega,"BOGOTÁ, D.C.",74398,14673.86,1991,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 20:25:55,240059318962,interrapidisimo,COVEÑAS,81752,22792.79,3111,Transito Urbano,1
2026-08-18 20:20:34,2220956324,servientrega,CAUCASIA,142200,28037.49,3804,EN ALISTAMIENTO DEL CLIENTE,2
2026-08-18 20:14:31,240059316765,interrapidisimo,TURBO,81030,25028.91,3421,Transito Urbano,1
2026-08-18 20:10:25,2220956321,servientrega,BARRANCABERMEJA,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 20:06:50,240059315345,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Transito Urbano,1
2026-08-18 20:03:28,240059314811,interrapidisimo,AGUAZUL,76561,16684.47,2268,Transito Urbano,1
2026-08-18 19:24:15,240059307016,interrapidisimo,PUERTO GAITÁN,81030,25028.91,3421,Transito Urbano,1
2026-08-18 19:15:09,2220956281,servientrega,PEREIRA,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 19:10:09,240059305131,interrapidisimo,TOCANCIPÁ,76561,16684.47,2268,Transito Urbano,1
2026-08-18 06:36:10,240059200654,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Transito Urbano,1
2026-08-18 06:32:20,2220956123,servientrega,PEREIRA,135725,27608.21,3748,EN ALISTAMIENTO DEL CLIENTE,2
2026-08-18 06:25:44,240059200612,interrapidisimo,GÓMEZ PLATA,81030,25028.91,3421,Transito Urbano,1
2026-08-18 06:21:56,240059200586,interrapidisimo,ANSERMA,81030,25028.91,3421,Transito Urbano,1
2026-08-18 06:15:13,240059200502,interrapidisimo,ZIPAQUIRÁ,72698,12871.27,1742,Transito Urbano,1
2026-08-18 06:10:49,2220956122,servientrega,CALI,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 06:07:30,240059200451,interrapidisimo,MOCOA,80676,22713.78,3101,Transito Urbano,1
2026-08-18 06:03:49,240059200381,interrapidisimo,BELLO,80676,22713.78,3101,Transito Urbano,1
2026-08-18 05:59:08,2220956121,servientrega,SANTA ROSA DE CABAL,141845,28014.16,3801,EN ALISTAMIENTO DEL CLIENTE,2
2026-08-18 05:49:39,2220956120,servientrega,CALI,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 05:46:24,240059200200,interrapidisimo,LA UNIÓN,81030,25028.91,3421,Transito Urbano,1
2026-08-18 05:43:20,240059200189,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Transito Urbano,1
2026-08-18 05:39:36,2220956119,servientrega,MEDELLÍN,139998,27891.23,3785,EN ALISTAMIENTO DEL CLIENTE,2
2026-08-18 05:33:48,240059200106,interrapidisimo,EL SANTUARIO,81030,25028.91,3421,Transito Urbano,1
2026-08-18 05:30:28,240059200052,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Transito Urbano,1
2026-08-18 05:26:32,2220956118,servientrega,MEDELLÍN,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 05:23:56,240059199997,interrapidisimo,RIONEGRO,80676,22713.78,3101,Transito Urbano,1
2026-08-18 05:15:34,240059199838,interrapidisimo,SAMACÁ,80676,22713.78,3101,Transito Urbano,1
2026-08-18 05:12:16,240059199752,interrapidisimo,SANTA MARTA,80676,22713.78,3101,Transito Urbano,1
2026-08-18 05:05:41,2220956117,servientrega,YARUMAL,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 04:55:26,240059199564,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Transito Urbano,1
2026-08-18 04:51:36,240059199547,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Transito Urbano,1
2026-08-18 04:47:54,240059199530,interrapidisimo,VILLAVICENCIO,78713,16843.48,2289,Transito Urbano,1
2026-08-18 04:44:20,240059199416,interrapidisimo,LLORENTE,81030,25028.91,3421,Transito Urbano,1
2026-08-18 04:40:45,2220956115,servientrega,BARRANQUILLA,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 04:36:50,240059199337,interrapidisimo,SAN CARLOS DE GUAROA,81030,25028.91,3421,Transito Urbano,1
2026-08-18 04:33:06,240059199286,interrapidisimo,BUENAVISTA,81030,25028.91,3421,Transito Urbano,1
2026-08-18 04:29:05,2220956114,servientrega,MANIZALES,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-18 04:22:37,240059199107,interrapidisimo,SAN GIL,80124,24962.54,3413,Transito Urbano,1
2026-08-14 20:56:57,240059090182,interrapidisimo,GUACHENÉ,81030,25028.91,3421,Reclame en oficina,1
2026-08-14 20:46:46,240059089230,interrapidisimo,"BOGOTÁ, D.C.",72698,1742.00,1742,Devolución ratificada,1
2026-08-14 20:43:56,2220955922,servientrega,MEDELLÍN,80941,20770.65,2832,Entregada,1
2026-08-14 20:39:23,2220955919,servientrega,SOLEDAD,80941,20770.65,2832,EN PROCESAMIENTO,1
2026-08-13 21:07:09,240059015879,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Telemercadeo,1
2026-08-13 19:42:21,240059007257,interrapidisimo,GÓMEZ PLATA,81030,25028.91,3421,Recoleccion programada,1
2026-08-13 19:37:51,240059006798,interrapidisimo,MONTERÍA,81752,22792.79,3111,Entregada,1
2026-08-13 19:33:45,240059006364,interrapidisimo,ALGECIRAS,81030,25028.91,3421,Entregada,1
2026-08-13 05:53:27,240058956074,interrapidisimo,IPIALES,81752,22792.79,3111,Transito Urbano,1
2026-08-13 05:43:51,240058956019,interrapidisimo,SOACHA,72698,12871.27,1742,Entregada,1
2026-08-13 05:36:53,240058956007,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Entregada,1
2026-08-13 05:31:45,240058955988,interrapidisimo,SANTA MARTA,81752,3111.00,3111,Devolución ratificada,1
