fecha_envio_utc,numero_de_guia,transportadora,ciudad_destino,valor_comercial,valor_servicio,valor_seguro_99,estado_del_envio
2026-08-24 06:29:56,2220957038,servientrega,BUENAVENTURA,85000,20923.34,2851,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957037,servientrega,SOLEDAD,138000,27757.74,3768,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957039,servientrega,PEREIRA,80000,20752.94,2830,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957040,servientrega,OCAÑA,78000,20717.06,2826,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957041,servientrega,PUERTO BERRÍO,85000,20923.34,2851,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957042,servientrega,DOSQUEBRADAS,81000,20770.89,2832,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957043,servientrega,COPACABANA,138000,27757.74,3768,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957044,servientrega,CARTAGENA DE INDIAS,81000,20770.89,2832,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957045,servientrega,MEDELLÍN,138000,27757.74,3768,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:56,2220957046,servientrega,SAN JOSÉ DE CÚCUTA,83000,20806.78,2836,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:55,2220957034,servientrega,TOCANCIPÁ,77000,14720.12,1996,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:55,2220957035,servientrega,PUERTO BERRÍO,85000,20923.34,2851,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:29:55,2220957036,servientrega,MEDELLÍN,138000,27757.74,3768,EN ALISTAMIENTO DEL CLIENTE
2026-08-24 06:26:57,240059656893,interrapidisimo,SAN ESTANISLAO,85000,25481.04,3482,Creado
2026-08-24 06:26:52,240059656892,interrapidisimo,"BOGOTÁ, D.C.",73000,12956.14,1754,Creado
2026-08-24 06:26:51,240059656891,interrapidisimo,FACATATIVÁ,73000,12956.14,1754,Creado
2026-08-24 06:26:51,240059656890,interrapidisimo,"BOGOTÁ, D.C.",73000,12956.14,1754,Creado
2026-08-24 06:26:50,240059656885,interrapidisimo,"BOGOTÁ, D.C.",73000,12956.14,1754,Creado
2026-08-24 06:26:50,240059656886,interrapidisimo,CHÍA,73000,12956.14,1754,Creado
2026-08-24 06:26:50,240059656883,interrapidisimo,"BOGOTÁ, D.C.",73000,12956.14,1754,Creado
2026-08-24 06:26:50,240059656887,interrapidisimo,VILLAVICENCIO,137000,25445.02,3448,Creado
2026-08-24 06:26:50,240059656888,interrapidisimo,CAJICÁ,73000,12956.14,1754,Creado
2026-08-24 06:26:50,240059656884,interrapidisimo,VILLAVICENCIO,77000,16810.73,2286,Creado
2026-08-24 06:26:50,240059656889,interrapidisimo,CHÍA,73000,12956.14,1754,Creado
2026-08-24 06:26:49,240059656879,interrapidisimo,ACEVEDO,85000,25481.04,3482,Creado
2026-08-24 06:26:49,240059656880,interrapidisimo,PUERTO ASÍS,85000,25481.04,3482,Creado
2026-08-24 06:26:49,240059656881,interrapidisimo,FUNES,85000,25481.04,3482,Creado
2026-08-24 06:26:49,240059656882,interrapidisimo,EL TAMBO,138000,31773.62,4324,Creado
2026-08-24 06:26:48,240059656878,interrapidisimo,MAGANGUÉ,85000,25481.04,3482,Creado
2026-08-24 06:26:47,240059656876,interrapidisimo,SANTA ROSA DE OSOS,85000,25481.04,3482,Creado
2026-08-24 06:26:47,240059656877,interrapidisimo,GUARNE,138000,31773.62,4324,Creado
2026-08-21 22:11:21,2220956850,servientrega,COPACABANA,85000,20923.34,2851,EN ALISTAMIENTO DEL CLIENTE
2026-08-21 22:09:12,2220956848,servientrega,MEDELLÍN,81000,20770.89,2832,EN PROCESAMIENTO
2026-08-21 22:05:24,240059580288,interrapidisimo,"BOGOTÁ, D.C.",138000,17658.30,2369,Admitida
2026-08-21 22:05:23,240059580285,interrapidisimo,PARATEBUENO,85000,25319.68,3460,Reclame en oficina
2026-08-21 22:05:23,240059580286,interrapidisimo,MANIZALES,138000,26915.13,3651,Admitida
2026-08-21 22:05:22,240059580281,interrapidisimo,LA MONTAÑITA,149800,32458.26,4412,Admitida
2026-08-21 22:05:22,240059580279,interrapidisimo,URIBE,81000,25025.80,3421,Admitida
2026-08-21 22:05:22,240059580278,interrapidisimo,DIBULLA,85000,25319.68,3460,Admitida
2026-08-21 22:05:22,240059580283,interrapidisimo,PALMIRA,138000,26915.13,3651,Admitida
2026-08-21 22:05:22,240059580280,interrapidisimo,EL CERRITO,85000,23029.88,3143,Admitida
