fecha_envio,numero_de_guia,transportadora,ciudad_destino,valor_comercial,valor_servicio,valor_seguro_99,estado_del_envio,unidades
2026-08-14 20:56:57,240059090182,interrapidisimo,GUACHENÉ,81030,25028.91,3421,Transito Urbano,1
2026-08-14 20:46:46,240059089230,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Transito Urbano,1
2026-08-14 20:43:56,2220955922,servientrega,MEDELLÍN,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-14 20:39:23,2220955919,servientrega,SOLEDAD,80941,20770.65,2832,EN ALISTAMIENTO DEL CLIENTE,1
2026-08-13 21:07:09,240059015879,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Telemercadeo,1
2026-08-13 19:42:21,240059007257,interrapidisimo,GÓMEZ PLATA,81030,25028.91,3421,Recoleccion programada,1
2026-08-13 19:37:51,240059006798,interrapidisimo,MONTERÍA,81752,22792.79,3111,Entregada,1
2026-08-13 19:33:45,240059006364,interrapidisimo,ALGECIRAS,81030,25028.91,3421,Entregada,1
2026-08-13 05:53:27,240058956074,interrapidisimo,IPIALES,81752,22792.79,3111,Transito Urbano,1
2026-08-13 05:43:51,240058956019,interrapidisimo,SOACHA,72698,12871.27,1742,Telemercadeo,1
2026-08-13 05:36:53,240058956007,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Entregada,1
2026-08-13 05:31:45,240058955988,interrapidisimo,SANTA MARTA,81752,22792.79,3111,Transito Urbano,1
2026-08-12 22:23:57,240058948859,interrapidisimo,FLORENCIA,81752,22792.79,3111,Transito Urbano,1
2026-08-12 19:01:22,240058930437,interrapidisimo,BUCARAMANGA,81752,22792.79,3111,Entregada,1
2026-08-12 18:58:08,240058930197,interrapidisimo,CERETÉ,81752,22792.79,3111,Transito nacional,1
2026-08-12 18:51:41,240058929714,interrapidisimo,REMEDIOS,81030,25028.91,3421,Reclame en oficina,1
2026-08-12 18:46:44,240058929377,interrapidisimo,FLORENCIA,80676,22713.78,3101,Entregada,1
2026-08-12 18:41:23,240058929002,interrapidisimo,PAIPA,76561,16684.47,2268,Entregada,1
2026-08-11 19:14:22,240058860362,interrapidisimo,SANTA MARTA,82827,22869.8,3121,Entregada,1
2026-08-11 19:03:23,240058859184,interrapidisimo,MÁLAGA,80000,24953.08,3412,Reclame en oficina,1
2026-08-11 18:59:01,240058858724,interrapidisimo,"BOGOTÁ, D.C.",72698,12871.27,1742,Entregada,1
2026-08-11 04:19:55,240058805963,interrapidisimo,TUNJA,76561,16684.47,2268,Entregada,1
2026-08-11 04:15:53,240058805943,interrapidisimo,POPAYÁN,82827,22869.8,3121,Reclame en oficina,1
2026-08-10 22:44:09,240058798948,interrapidisimo,ZIPAQUIRÁ,72698,12871.27,1742,Entregada,1
2026-08-10 22:37:33,240058798601,interrapidisimo,CARTAGENA DE INDIAS,155841,35859.86,4880,Intento de entrega,2
2026-08-10 21:44:13,240058794250,interrapidisimo,INZÁ,80061,24957.3,3412,Reclame en oficina,1
