estado,detalle,ciudad,fecha,recaudo,flete,transportadora
TRANSITO,Para Reclamar en Oficina,SAN JUAN DE URABA,46243,80000,22220,INTERRAPIDISIMO
NOVEDAD,En confirmacion telefonica,COROZAL,46243,80558,20558,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,BOGOTA,46243,73266,13266,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,BOGOTA,46243,73266,13266,INTERRAPIDISIMO
FINALIZADA,Devuelto al Remitente,CARTAGENA,46243,140262,30262,INTERRAPIDISIMO
GENERADA,,CARTAGENA,46243,150998,30998,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,BARRANCABERMEJA,46243,82363,22363,INTERRAPIDISIMO
NOVEDAD,En confirmacion telefonica,CERETE,46243,140000,30280,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,APARTADO,46243,80558,20558,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,REMEDIOS,46243,150473,30473,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,CARTAGENA,46243,75000,20195,INTERRAPIDISIMO
TRANSITO,Para Reclamar en Oficina,CHINCHINA,46243,80558,20558,INTERRAPIDISIMO
NOVEDAD,En Proceso de Devolucion,DONCELLO,46243,82363,22363,INTERRAPIDISIMO
TRANSITO,Para Reclamar en Oficina,EL RETORNO,46243,82363,22363,INTERRAPIDISIMO
NOVEDAD,Para Reclamar en Oficina,YOPAL,46243,76048,16048,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,NORCASIA,46243,76048,16048,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,MEDELLIN,46243,80558,20558,INTERRAPIDISIMO
TRANSITO,En distribucion urbana,BUENAVENTURA,46243,80558,20558,INTERRAPIDISIMO
TRANSITO,Para Reclamar en Oficina,PUERTO TEJADA,46242,80558,20558,INTERRAPIDISIMO
FINALIZADA,Entrega Exitosa,BOGOTA,46242,73266,13266,INTERRAPIDISIMO
NOVEDAD,Para nuevo intento de entrega,MONTERIA,46241,80558,20558,INTERRAPIDISIMO
TRANSITO,Para Reclamar en Oficina,NEMOCON,46241,76048,16048,INTERRAPIDISIMO
NOVEDAD,Para nuevo intento de entrega,SAMPUES,46241,80558,20558,INTERRAPIDISIMO
