region,dia,conjunto,anuncio,gasto,impresiones,alcance,ctr,cpc
Antioquia,2026-08-30,Domiciliarios,TEST B - Franja reflectiva noche,724,149,131,2.01342282,241.33333333
Antioquia,2026-08-30,Domiciliarios,Fondo azul sin personaje,49080,11767,11196,1.47871165,282.06896552
Antioquia,2026-08-30,Motorizados,Fondo azul sin personaje,1895,415,395,1.20481928,379
Distrito Especial,2026-08-30,Motorizados,Fondo azul sin personaje,10048,1869,1735,1.71214553,314
Meta,2026-08-30,Domiciliarios,Fondo azul sin personaje,8,3,3,,
Distrito Especial,2026-08-30,Domiciliarios,Fondo azul sin personaje,19404,4581,4337,1.68085571,252
Cundinamarca,2026-08-30,Domiciliarios,Fondo azul sin personaje,5910,1325,1185,2.26415094,197
Distrito Especial,2026-08-30,TEST Creativos,Prueba social +50 clientes,4879,641,573,2.80811232,271.05555556
Antioquia,2026-08-30,TEST Creativos,Prueba social +50 clientes,9221,1192,1043,2.26510067,341.51851852
Cundinamarca,2026-08-30,TEST Creativos,Prueba social +50 clientes,1602,227,193,0.88105727,801
Distrito Especial,2026-08-30,Domiciliarios,TEST B - Franja reflectiva noche,235,56,53,1.78571429,235
Cundinamarca,2026-08-30,Domiciliarios,TEST B - Franja reflectiva noche,65,18,15,11.11111111,32.5
Distrito Especial,2026-08-29,TEST Creativos,Prueba social +50 clientes,6118,805,751,2.48447205,305.9
Antioquia,2026-08-29,Motorizados,Fondo azul sin personaje,3681,789,749,1.39416984,334.63636364
Distrito Especial,2026-08-29,Motorizados,Fondo azul sin personaje,14693,3206,2958,1.68434186,272.09259259
Meta,2026-08-29,Domiciliarios,Fondo azul sin personaje,1,1,1,,
Distrito Especial,2026-08-29,Domiciliarios,Fondo azul sin personaje,18897,4599,4340,1.6307893,251.96
Cundinamarca,2026-08-29,Domiciliarios,Fondo azul sin personaje,5339,1272,1143,1.96540881,213.56
Cundinamarca,2026-08-29,TEST Creativos,Prueba social +50 clientes,2063,274,233,2.91970803,257.875
Antioquia,2026-08-29,Domiciliarios,Fondo azul sin personaje,49558,12604,11422,1.58679784,247.79
Antioquia,2026-08-29,TEST Creativos,Prueba social +50 clientes,9280,1291,1127,1.93648335,371.2
Antioquia,2026-08-29,Domiciliarios,TEST B - Franja reflectiva noche,3093,697,613,1.57819225,281.18181818
Distrito Especial,2026-08-29,Domiciliarios,TEST B - Franja reflectiva noche,1217,247,225,3.2388664,152.125
Cundinamarca,2026-08-29,Domiciliarios,TEST B - Franja reflectiva noche,352,68,59,2.94117647,176
Distrito Especial,2026-08-29,Domiciliarios,Demostracion agua rueda,22,5,4,,
Antioquia,2026-08-29,Domiciliarios,Demostracion agua rueda,14,6,6,,
Cundinamarca,2026-08-29,Domiciliarios,Demostracion agua rueda,9,3,3,,
Unknown,2026-08-28,Motorizados,Fondo azul sin personaje,14,1,0,,
Distrito Especial,2026-08-28,Motorizados,Fondo azul sin personaje,16516,3747,3616,1.2543368,351.40425532
Antioquia,2026-08-28,Motorizados,Fondo azul sin personaje,4375,901,843,1.3318535,364.58333333
Meta,2026-08-28,Domiciliarios,Fondo azul sin personaje,10,1,1,,
Distrito Especial,2026-08-28,Domiciliarios,Fondo azul sin personaje,17116,3949,3651,1.54469486,280.59016393
Antioquia,2026-08-28,Domiciliarios,Fondo azul sin personaje,48312,11242,10362,1.52108166,282.52631579
Cundinamarca,2026-08-28,Domiciliarios,Fondo azul sin personaje,3875,958,884,1.565762,258.33333333
Cundinamarca,2026-08-28,TEST Creativos,Prueba social +50 clientes,1085,177,163,1.69491525,361.66666667
Distrito Especial,2026-08-28,TEST Creativos,Prueba social +50 clientes,5694,716,600,2.09497207,379.6
Antioquia,2026-08-28,TEST Creativos,Prueba social +50 clientes,9188,1222,1095,1.80032733,417.63636364
Meta,2026-08-28,Domiciliarios,TEST B - Franja reflectiva noche,2,1,1,,
Cundinamarca,2026-08-28,Domiciliarios,TEST B - Franja reflectiva noche,482,82,69,1.2195122,482
Distrito Especial,2026-08-28,Domiciliarios,TEST B - Franja reflectiva noche,1542,323,291,1.23839009,385.5
Antioquia,2026-08-28,Domiciliarios,TEST B - Franja reflectiva noche,4701,891,766,1.01010101,522.33333333
Cundinamarca,2026-08-27,TEST Creativos,Prueba social +50 clientes,1297,180,171,3.88888889,185.28571429
Antioquia,2026-08-27,Domiciliarios,Demostracion agua rueda,122,27,27,3.7037037,122
Distrito Especial,2026-08-27,Domiciliarios,Demostracion agua rueda,23,10,10,,
Cundinamarca,2026-08-27,Domiciliarios,Demostracion agua rueda,8,4,3,,
Cundinamarca,2026-08-27,Domiciliarios,TEST B - Franja reflectiva noche,192,52,47,1.92307692,192
Distrito Especial,2026-08-27,Domiciliarios,TEST B - Franja reflectiva noche,1083,190,170,2.63157895,216.6
Antioquia,2026-08-27,Domiciliarios,TEST B - Franja reflectiva noche,2745,553,473,1.62748644,305
Antioquia,2026-08-27,TEST Creativos,Prueba social +50 clientes,10606,1079,1019,2.78035218,353.53333333
Antioquia,2026-08-27,Domiciliarios,Fondo azul sin personaje,37501,8496,7659,1.62429379,271.74637681
Distrito Especial,2026-08-27,Domiciliarios,Fondo azul sin personaje,13411,3005,2765,1.69717138,262.96078431
Cundinamarca,2026-08-27,Domiciliarios,Fondo azul sin personaje,3166,734,665,1.08991826,395.75
Meta,2026-08-27,Domiciliarios,Fondo azul sin personaje,7,4,4,,
Antioquia,2026-08-27,Motorizados,Fondo azul sin personaje,3169,632,599,1.26582278,396.125
Distrito Especial,2026-08-27,Motorizados,Fondo azul sin personaje,12816,2778,2618,1.76385889,261.55102041
Distrito Especial,2026-08-27,TEST Creativos,Prueba social +50 clientes,5395,604,571,1.82119205,490.45454545
Meta,2026-08-26,Domiciliarios,Fondo azul sin personaje,11,5,4,,
Distrito Especial,2026-08-26,TEST Creativos,Prueba social +50 clientes,5029,546,507,1.46520147,628.625
Distrito Especial,2026-08-26,Motorizados,Fondo azul sin personaje,16040,3314,3153,1.81050091,267.33333333
Antioquia,2026-08-26,Motorizados,Fondo azul sin personaje,4058,825,778,1.33333333,368.90909091
Distrito Especial,2026-08-26,Domiciliarios,Fondo azul sin personaje,19847,4651,4285,1.52655343,279.53521127
Antioquia,2026-08-26,Domiciliarios,Fondo azul sin personaje,54576,13053,12337,1.58584234,263.65217391
Cundinamarca,2026-08-26,Domiciliarios,Fondo azul sin personaje,5012,1179,1081,1.27226463,334.13333333
Cundinamarca,2026-08-26,TEST Creativos,Prueba social +50 clientes,1367,190,172,0.52631579,1367
Antioquia,2026-08-26,TEST Creativos,Prueba social +50 clientes,10848,1179,1088,2.37489398,387.42857143
Antioquia,2026-08-26,Domiciliarios,TEST B - Franja reflectiva noche,5815,1593,1249,1.1299435,323.05555556
Distrito Especial,2026-08-26,Domiciliarios,TEST B - Franja reflectiva noche,2200,561,470,1.42602496,275
Cundinamarca,2026-08-26,Domiciliarios,TEST B - Franja reflectiva noche,625,148,127,2.02702703,208.33333333
Antioquia,2026-08-26,Domiciliarios,Demostracion agua rueda,9,5,4,,
Distrito Especial,2026-08-26,Domiciliarios,Demostracion agua rueda,1,1,1,,
Antioquia,2026-08-25,Domiciliarios,Fondo azul sin personaje,34041,8027,7177,1.53232839,276.75609756
Distrito Especial,2026-08-25,Motorizados,Fondo azul sin personaje,10384,2132,2020,1.87617261,259.6
Antioquia,2026-08-25,Motorizados,Fondo azul sin personaje,2443,545,516,0.91743119,488.6
Meta,2026-08-25,Domiciliarios,Fondo azul sin personaje,9,3,2,33.33333333,9
Cundinamarca,2026-08-25,Domiciliarios,Fondo azul sin personaje,3225,796,730,1.50753769,268.75
Distrito Especial,2026-08-25,Domiciliarios,Fondo azul sin personaje,13406,2956,2773,1.55615697,291.43478261
Cundinamarca,2026-08-25,Domiciliarios,TEST B - Franja reflectiva noche,570,112,95,,
Cundinamarca,2026-08-25,TEST Creativos,Prueba social +50 clientes,1736,208,190,2.40384615,347.2
Antioquia,2026-08-25,TEST Creativos,Prueba social +50 clientes,9583,1203,1102,2.16126351,368.57692308
Distrito Especial,2026-08-25,TEST Creativos,Prueba social +50 clientes,5464,651,588,2.91858679,287.57894737
Distrito Especial,2026-08-25,Domiciliarios,TEST B - Franja reflectiva noche,1453,404,361,1.23762376,290.6
Antioquia,2026-08-25,Domiciliarios,TEST B - Franja reflectiva noche,4328,1039,863,1.44369586,288.53333333
Distrito Especial,2026-08-24,TEST Creativos,Prueba social +50 clientes,4643,802,760,2.24438903,257.94444444
Meta,2026-08-24,Domiciliarios,Fondo azul sin personaje,4,2,1,,
Cundinamarca,2026-08-24,Domiciliarios,Fondo azul sin personaje,3821,1377,1262,1.2345679,224.76470588
Distrito Especial,2026-08-24,Domiciliarios,Fondo azul sin personaje,17788,5229,4647,1.30043985,261.58823529
Antioquia,2026-08-24,Domiciliarios,Fondo azul sin personaje,47786,15141,13719,1.54547256,204.21367521
Cundinamarca,2026-08-24,TEST Creativos,Prueba social +50 clientes,1445,240,223,0.41666667,1445
Distrito Especial,2026-08-24,Motorizados,Fondo azul sin personaje,12675,3286,3135,1.339014,288.06818182
