fecha,guia,transportadora,producto,ciudad,recaudo,estado,flete,seguro
2026-09-11,240061093893,interrapidisimo,impermeable,MUTATA,85000,Transito Urbano,25481.04,3482
2026-09-11,240061093894,interrapidisimo,impermeable,SAN ROQUE,135000,Transito Urbano,33863.18,4615
2026-09-11,240061093882,interrapidisimo,impermeable,SAN ALBERTO,143000,Transito Urbano,34449.95,4692
2026-09-11,240061093092,interrapidisimo,impermeable,QUIBDO,85000,Transito Urbano,25481.04,3482
2026-09-11,240061093094,interrapidisimo,impermeable,SAN MARTIN,85000,Transito Urbano,25481.04,3482
2026-09-11,240061093095,interrapidisimo,impermeable,SAN ANDRES DE TUMACO,85000,Transito Urbano,25481.04,3482
2026-09-11,240061093085,interrapidisimo,impermeable,GINEBRA,85000,Transito Urbano,25481.04,3482
2026-09-11,240061093086,interrapidisimo,impermeable,SAN BENITO ABAD,85000,Transito Urbano,25481.04,3482
2026-09-11,240061093087,interrapidisimo,impermeable,PUERTO TEJADA,81000,Transito Urbano,22878.42,3124
2026-09-11,240061093088,interrapidisimo,impermeable,MEDINA,85000,Transito Urbano,25481.04,3482
2026-09-11,64532762537,coordinadora,impermeable,BARRANQUILLA,81000,Transito urbano informado Whatsapp,20895.39,2849
2026-09-11,64532762538,coordinadora,impermeable,VILLAVICENCIO,136000,Transito urbano informado Whatsapp,28260.69,3839
2026-09-11,64532762535,coordinadora,impermeable,MONTERIA,138000,Transito urbano informado Whatsapp,28400.16,3857
2026-09-11,64532762534,coordinadora,impermeable,BOGOTA,73000,Transito urbano informado Whatsapp,11999.98,1622
2026-09-11,64532762532,coordinadora,impermeable,CARTAGENA DE INDIAS,81000,Transito urbano informado Whatsapp,20895.39,2849
2026-09-10,240061027066,interrapidisimo,impermeable,EL BAGRE,143000,Transito urbano informado Whatsapp,35605.31,4852
2026-09-10,240061025746,interrapidisimo,Conjunto tradicional,CHACHAGUI,85000,Transito urbano informado Whatsapp,23171.31,3162
2026-09-10,240061025744,interrapidisimo,Conjunto tradicional,SAN DIEGO,143000,Transito urbano informado Whatsapp,35123.24,4785
2026-09-10,64532761837,coordinadora,impermeable,BARRANQUILLA,81000,En transporte,20895.39,2849
2026-09-10,64532761757,coordinadora,Conjunto tradicional,NEIVA,80000,Unidad en lugar diferente,20825.65,2840
2026-09-10,64532761758,coordinadora,Conjunto tradicional,CIENAGA,85000,En transporte,21175.33,2886
2026-09-10,64532761756,coordinadora,Conjunto tradicional,LA CEJA,85000,Unidad en lugar diferente,21175.33,2886
2026-09-10,64532761754,coordinadora,Conjunto tradicional,SINCELEJO,81000,En transporte,20895.39,2849
2026-09-10,64532761753,coordinadora,Conjunto tradicional,SANTA MARTA,138000,En transporte,28400.16,3857
2026-09-10,64532761755,coordinadora,Conjunto tradicional,NEIVA,138000,Unidad en lugar diferente,28400.16,3857
2026-09-10,64532761752,coordinadora,Conjunto tradicional,CARTAGENA DE INDIAS,81000,En transporte,20895.39,2849
2026-09-10,64532761751,coordinadora,Conjunto tradicional,BELLO,81000,Unidad en lugar diferente,20895.39,2849
2026-09-09,240060949377,interrapidisimo,Conjunto tradicional,BOGOTA,73000,Entregada,12956.14,1754
2026-09-09,240060949376,interrapidisimo,Conjunto tradicional,BOGOTA,128000,Entregada,20647.14,2789
2026-09-09,240060949379,interrapidisimo,Conjunto tradicional,BOGOTA,128000,Entregada,20647.14,2789
2026-09-09,240060949373,interrapidisimo,Conjunto tradicional,SAHAGUN,85000,Admitida,25481.04,3482
2026-09-09,240060949372,interrapidisimo,Conjunto tradicional,BOGOTA,73000,Entregada,12956.14,1754
2026-09-09,240060949375,interrapidisimo,Conjunto tradicional,BELLO,81000,Admitida,22878.42,3124
2026-09-08,240060860795,interrapidisimo,Conjunto tradicional,BOGOTA,73000,Intento de entrega,12956.14,1754
2026-09-08,240060860785,interrapidisimo,Conjunto tradicional,SOACHA,73000,Entregada,12956.14,1754
2026-09-08,240060860787,interrapidisimo,Conjunto tradicional,BARRANCABERMEJA,138000,Entregada,34083.34,4644
2026-09-08,240060860788,interrapidisimo,Conjunto tradicional,BARRANQUILLA,81000,Reparto,22878.42,3124
2026-09-08,240060860773,interrapidisimo,Conjunto tradicional,FRONTINO,85000,Reclame en oficina,25481.04,3482
2026-09-08,240060860774,interrapidisimo,Conjunto tradicional,EL COPEY,85000,Intento de entrega,25481.04,3482
2026-09-08,240060860770,interrapidisimo,Conjunto tradicional,DAGUA,80000,Intento de entrega,25114.43,3434
2026-09-08,240060860775,interrapidisimo,Conjunto tradicional,GUTIERREZ,85000,Reclame en oficina,17397.50,2363
2026-09-08,240060860772,interrapidisimo,Conjunto tradicional,SANTIAGO DE TOLU,85000,Intento de entrega,25481.04,3482
2026-09-08,64532759612,coordinadora,impermeable,SOLEDAD,81000,Entregada,20895.39,2849
2026-09-08,64532759600,coordinadora,Conjunto tradicional,CARTAGENA DE INDIAS,81000,Entregada,20895.39,2849
2026-09-08,64532759599,coordinadora,Conjunto tradicional,CARTAGENA DE INDIAS,81000,Se visita no se logra entrega,20895.39,2849
2026-09-08,64532759598,coordinadora,Conjunto tradicional,ARMENIA,81000,Entregada,20895.39,2849
2026-09-08,64532759596,coordinadora,Conjunto tradicional,MEDELLIN,81000,No se localiza direccion,20895.39,2849
2026-09-08,64532759597,coordinadora,Conjunto tradicional,SINCELEJO,83000,Destinatario no cancela recaudo,21034.86,2867
